"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"Aspartate--ammonia ligase",0.922603978300181,0.131724732169534,0.809304029304029,1.52721048098727,0.153282568680664,65,1.00179211469534,3.60065114560707,0.196765543185341,93,0.249423785646768,-0.771731071646517,155.318228206562,0.441446295987547,0.579333573480432,-0.213371134514742,0.293380298239365,0.468141346197955,0.634608817661025
"Inorganic diphosphatase",0.920316455696203,0.141600205381354,0.793615384615385,1.73841133413462,0.163538343381353,65,1.00887096774194,4.17765822230014,0.211945880247211,93,0.26770477378949,-0.804078239171847,155.119014575104,0.422582337748218,0.579333573480432,-0.239988189212564,0.316809475107897,0.449883603905499,0.634608817661025
"1,4-beta-mannosyl-N-acetylglucosamine phosphorylase",0.919680530440024,0.129143211495115,0.796336996336996,1.29453710971568,0.141123901356529,65,1.00588837685612,3.57807916683893,0.196147825723107,93,0.241640073394274,-0.867204588939214,152.974837917492,0.38718818292176,0.579333573480432,-0.233603928619828,0.288038681245565,0.418592192195035,0.634608817661025
"Beta-1,4-mannooligosaccharide phosphorylase",0.919680530440024,0.129143211495115,0.796336996336996,1.29453710971568,0.141123901356529,65,1.00588837685612,3.57807916683893,0.196147825723107,93,0.241640073394274,-0.867204588939214,152.974837917492,0.38718818292176,0.579333573480432,-0.233603928619828,0.288038681245565,0.418592192195035,0.634608817661025
"Exo-alpha-sialidase",0.919680530440024,0.129143211495115,0.796336996336996,1.29453710971568,0.141123901356529,65,1.00588837685612,3.57807916683893,0.196147825723107,93,0.241640073394274,-0.867204588939214,152.974837917492,0.38718818292176,0.579333573480432,-0.233603928619828,0.288038681245565,0.418592192195035,0.634608817661025
"L-aspartate oxidase",0.919590114526823,0.146259726972446,0.828351648351648,2.54679806602128,0.197943195659815,65,0.983358934971838,3.98623169853885,0.207033104685945,93,0.28643361385131,-0.541163044853581,153.132524308878,0.589181599925862,0.679554076408515,-0.171536435587471,0.328268129181938,0.602028905111373,0.718093922432393
"Nicotinate-nucleotide diphosphorylase (carboxylating)",0.919590114526823,0.146259726972446,0.828351648351648,2.54679806602128,0.197943195659815,65,0.983358934971838,3.98623169853885,0.207033104685945,93,0.28643361385131,-0.541163044853581,153.132524308878,0.589181599925862,0.679554076408515,-0.171536435587471,0.328268129181938,0.602028905111373,0.718093922432393
"Quinolinate synthase",0.919590114526823,0.146259726972446,0.828351648351648,2.54679806602128,0.197943195659815,65,0.983358934971838,3.98623169853885,0.207033104685945,93,0.28643361385131,-0.541163044853581,153.132524308878,0.589181599925862,0.679554076408515,-0.171536435587471,0.328268129181938,0.602028905111373,0.718093922432393
"Nicotinate phosphoribosyltransferase",0.918964737793852,0.131664673676881,0.797252747252747,1.80640575941915,0.166705902226699,65,1.00403225806452,3.39979015799868,0.191198544501104,93,0.253668565763593,-0.815156226351189,155.69894596938,0.416228053662467,0.579333573480432,-0.230607677486406,0.296334840868914,0.437630010510829,0.634608817661025
"3-deoxy-manno-octulosonate cytidylyltransferase",0.913836752509821,0.128998301933417,0.78657824933687,1.71296563729077,0.162337049057759,65,1.0027808676307,3.27573469939113,0.187677792391358,93,0.248145665393686,-0.871272999876195,155.797758486663,0.384945704460675,0.579333573480432,-0.242840079029902,0.292219423189605,0.407232641324668,0.634608817661025
"Methionine adenosyltransferase",0.913836752509821,0.128998301933417,0.78657824933687,1.71296563729077,0.162337049057759,65,1.0027808676307,3.27573469939113,0.187677792391358,93,0.248145665393686,-0.871272999876195,155.797758486663,0.384945704460675,0.579333573480432,-0.242840079029902,0.292219423189605,0.407232641324668,0.634608817661025
"Amidophosphoribosyltransferase",0.912680052378874,0.135597025757058,0.797559681697613,2.08607822647032,0.179146619215844,65,0.993140526510938,3.49048195590747,0.193731938621426,93,0.263866586021198,-0.741211108850338,154.360819860743,0.459691578324149,0.579333573480432,-0.219315503320071,0.307798009487668,0.477200631022435,0.634608817661025
